field,dtype,training_departure_nonnull_pct,ranking_departure_nonnull_pct,ranking_arrival_nonnull_pct,training_category_unique
MVT_ID_mvt,float64,100.0,100.0,100.0,
FLIGHT_ID_mvt,float64,98.92453263643458,98.46798959520474,99.59123045724746,
FLIGHT_mvt,category,99.99098341668078,99.98318065427256,99.98868558398343,
FLIGHT_RULE_mvt,category,99.99026400843722,99.99420022561122,99.98143275320358,
ADEP_mvt,category,100.0,100.0,99.99622852799448,10.0
ADES_mvt,category,99.99414881295242,99.99623014664729,100.0,1568.0
PHASE_mvt,category,100.0,100.0,100.0,
MVT_TIME_UTC_mvt,"datetime64[us, UTC]",100.0,100.0,100.0,
BLOCK_TIME_UTC_mvt,"datetime64[us, UTC]",100.0,0.0,100.0,
SCHED_TIME_UTC_mvt,"datetime64[us, UTC]",100.0,100.0,100.0,
AIRCRAFT_TYPE_mvt,category,99.92772345179749,99.88748437685774,99.99390762214493,269.0
RUNWAY_mvt,category,100.0,100.0,100.0,53.0
STAND_mvt,category,99.99865710461204,99.99884004512224,99.99854943384403,1899.0
TAXITIME_SEC_mvt,float64,100.0,0.0,100.0,
LOBT_flt,"datetime64[us, UTC]",98.92232645115435,98.46595967416867,99.25963103399256,
CALLSIGN_flt,category,98.92232645115435,98.46595967416867,99.25963103399256,
ADEP_flt,category,98.92232645115435,98.46595967416867,99.25963103399256,
ADES_flt,category,98.92232645115435,98.46595967416867,99.25963103399256,
ADES_FILED_flt,category,98.92232645115435,98.46595967416867,99.25963103399256,
MARKET_SEGMENT_flt,category,98.92232645115435,98.46595967416867,99.25963103399256,8.0
IOBT_flt,"datetime64[us, UTC]",98.92232645115435,98.46595967416867,99.25963103399256,
FLIGHT_RULE_flt,category,98.91877737048614,98.46189983209653,99.25614967521824,
FLIGHT_TYPE_flt,category,98.92232645115435,98.46595967416867,99.25963103399256,5.0
AIRCRAFT_TYPE_flt,category,98.92232645115435,98.46595967416867,99.25963103399256,
WK_TBL_CAT_flt,category,98.91877737048614,98.46189983209653,99.25614967521824,4.0
AIRCRAFT_OPERATOR_flt,category,98.92232645115435,98.46595967416867,99.25963103399256,676.0
EOBT_1_flt,"datetime64[us, UTC]",98.92232645115435,98.46595967416867,99.25963103399256,
ARVT_1_flt,"datetime64[us, UTC]",98.92232645115435,98.46595967416867,99.25963103399256,
AOBT_3_flt,"datetime64[us, UTC]",98.92232645115435,98.46595967416867,99.25963103399256,
ARVT_3_flt,"datetime64[us, UTC]",98.92232645115435,98.46595967416867,99.25963103399256,
